,ios_current_ratings,ios_all_ratings,android_avg_rating,android_total_ratings,android_ratings_5,android_ratings_4,android_ratings_3,android_ratings_2,android_ratings_1
2016-07-21 20:10:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 20:20:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 20:30:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 20:40:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 20:50:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 21:00:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 21:10:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 21:20:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 21:30:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 21:40:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 21:50:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 22:00:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 22:10:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 22:20:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 22:30:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 22:40:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 22:50:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 23:00:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 23:10:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 23:20:00,7759.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 23:30:00,7759.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 23:40:00,7759.0,109369.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-21 23:50:00,7759.0,109369.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
2016-07-22 00:00:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 00:10:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 00:20:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 00:30:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 00:40:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 00:50:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 01:00:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 01:10:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 01:20:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 01:30:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 01:40:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 01:50:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 02:00:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 02:10:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 02:20:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 02:30:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 02:40:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 02:50:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 03:00:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 03:10:00,7759.0,109369.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 03:20:00,8196.0,109777.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 03:30:00,8196.0,109777.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 03:40:00,8196.0,109777.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 03:50:00,8196.0,109777.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
